coin,Brain,human_readable_time,timeframe,win_rate_percentage_per_day,number_of_trades_per_day,average_percentage_per_trade,cumulative_percentage_per_day,win_rate_percentage_per_year_or_two_or_three
XMR,bbrsi,2021-05-03 08:00:00,5m,25.0,4,-1.87,-7.46,
XMR,bbrsi,2021-05-04 08:00:00,5m,,4,0.96,3.85,
XMR,bbrsi,2021-05-05 08:00:00,5m,,4,0.61,2.45,
XMR,bbrsi,2021-05-06 08:00:00,5m,,3,1.33,4.00,
XMR,bbrsi,2021-05-07 08:00:00,5m,50.0,4,-1.38,-5.52,
XMR,bbrsi,2021-05-08 08:00:00,5m,60.0,5,-0.55,-2.73,
XMR,bbrsi,2021-05-09 08:00:00,5m,50.0,2,-1.03,-2.07,
XMR,bbrsi,2021-05-10 08:00:00,5m,,2,-3.69,-7.39,
XMR,bbrsi,2021-05-11 08:00:00,5m,,1,0.77,0.77,
XMR,bbrsi,2021-05-12 08:00:00,5m,50.0,6,-0.63,-3.81,
XMR,bbrsi,2021-05-13 08:00:00,5m,75.0,4,-0.03,-0.11,
XMR,bbrsi,2021-05-14 08:00:00,5m,,5,0.88,4.39,
XMR,bbrsi,2021-05-15 08:00:00,5m,75.0,4,0.25,0.99,
XMR,bbrsi,2021-05-16 08:00:00,5m,33.3,6,-1.41,-8.46,
XMR,bbrsi,2021-05-17 08:00:00,5m,66.7,3,-0.07,-0.21,
XMR,bbrsi,2021-05-18 08:00:00,5m,57.1,7,-0.67,-4.69,
XMR,bbrsi,2021-05-19 08:00:00,5m,16.7,6,-2.42,-14.50,
XMR,bbrsi,2021-05-20 08:00:00,5m,,1,-3.69,-3.69,
XMR,bbrsi,2021-05-21 08:00:00,5m,28.6,7,-1.27,-8.87,
XMR,bbrsi,2021-05-22 08:00:00,5m,60.0,5,0.25,1.27,
XMR,bbrsi,2021-05-23 08:00:00,5m,33.3,3,-2.23,-6.69,
XMR,bbrsi,2021-05-24 08:00:00,5m,66.7,3,-0.46,-1.38,
XMR,bbrsi,2021-05-25 08:00:00,5m,60.0,5,-0.36,-1.81,
