coin,Brain,human_readable_time,timeframe,win_rate_percentage_per_day,number_of_trades_per_day,average_percentage_per_trade,cumulative_percentage_per_day,win_rate_percentage_per_year_or_two_or_three
LTC,bbrsi,2022-01-05 13:30:00,5m,42.9,7,-1.20,-8.42,
LTC,bbrsi,2022-01-06 13:30:00,5m,50.0,2,-1.13,-2.27,
LTC,bbrsi,2022-01-07 13:30:00,5m,,4,0.63,2.52,
LTC,bbrsi,2022-01-08 13:30:00,5m,75.0,4,-0.59,-2.37,
LTC,bbrsi,2022-01-09 13:30:00,5m,50.0,2,-0.95,-1.90,
LTC,bbrsi,2022-01-10 13:30:00,5m,,3,0.24,0.72,
LTC,bbrsi,2022-01-11 13:30:00,5m,,3,0.36,1.09,
LTC,bbrsi,2022-01-12 13:30:00,5m,,1,0.66,0.66,
LTC,bbrsi,2022-01-13 13:30:00,5m,66.7,3,0.19,0.56,
LTC,bbrsi,2022-01-14 13:30:00,5m,66.7,3,0.33,0.98,
LTC,bbrsi,2022-01-15 13:30:00,5m,,3,0.12,0.35,
LTC,bbrsi,2022-01-16 13:30:00,5m,80.0,5,0.15,0.77,
LTC,bbrsi,2022-01-17 13:30:00,5m,25.0,4,-2.20,-8.78,
LTC,bbrsi,2022-01-18 13:30:00,5m,50.0,4,-0.94,-3.74,
LTC,bbrsi,2022-01-19 13:30:00,5m,75.0,4,0.31,1.25,
LTC,bbrsi,2022-01-20 13:30:00,5m,33.3,6,-1.92,-11.51,
LTC,bbrsi,2022-01-21 13:30:00,5m,40.0,5,-0.38,-1.92,
LTC,bbrsi,2022-01-22 13:30:00,5m,66.7,3,0.78,2.35,
LTC,bbrsi,2022-01-23 13:30:00,5m,50.0,4,-1.55,-6.20,
LTC,bbrsi,2022-01-24 13:30:00,5m,,2,1.21,2.42,
LTC,bbrsi,2022-01-25 13:30:00,5m,,1,0.08,0.08,
LTC,bbrsi,2022-01-26 13:30:00,5m,,3,1.49,4.47,
LTC,bbrsi,2022-01-27 13:30:00,5m,33.3,3,-0.72,-2.15,
LTC,bbrsi,2022-01-28 13:30:00,5m,,4,0.42,1.69,
LTC,bbrsi,2022-01-29 13:30:00,5m,,3,0.25,0.76,
LTC,bbrsi,2022-01-30 13:30:00,5m,75.0,4,-0.64,-2.58,
LTC,bbrsi,2022-01-31 13:30:00,5m,,2,0.40,0.79,
LTC,bbrsi,2022-02-01 13:30:00,5m,,4,0.32,1.30,
LTC,bbrsi,2022-02-02 13:30:00,5m,66.7,3,-0.17,-0.51,
LTC,bbrsi,2022-02-03 13:30:00,5m,,3,0.82,2.46,
LTC,bbrsi,2022-02-04 13:30:00,5m,,1,0.97,0.97,
LTC,bbrsi,2022-02-05 13:30:00,5m,,3,1.07,3.20,
LTC,bbrsi,2022-02-06 13:30:00,5m,50.0,2,-0.04,-0.07,
LTC,bbrsi,2022-02-07 13:30:00,5m,50.0,4,-0.74,-2.98,
LTC,bbrsi,2022-02-08 13:30:00,5m,66.7,3,0.35,1.06,
LTC,bbrsi,2022-02-09 13:30:00,5m,,2,0.12,0.24,
LTC,bbrsi,2022-02-10 13:30:00,5m,83.3,6,0.23,1.38,
LTC,bbrsi,2022-02-11 13:30:00,5m,75.0,4,-0.70,-2.79,
LTC,bbrsi,2022-02-12 13:30:00,5m,,2,0.08,0.16,
LTC,bbrsi,2022-02-13 13:30:00,5m,,1,-2.73,-2.73,
LTC,bbrsi,2022-02-14 13:30:00,5m,,1,1.15,1.15,
LTC,bbrsi,2022-02-15 13:30:00,5m,,3,0.47,1.41,
LTC,bbrsi,2022-02-16 13:30:00,5m,50.0,2,-0.94,-1.89,
LTC,bbrsi,2022-02-17 13:30:00,5m,66.7,3,-1.14,-3.41,
LTC,bbrsi,2022-02-18 13:30:00,5m,60.0,5,-0.96,-4.82,
LTC,bbrsi,2022-02-19 13:30:00,5m,66.7,3,-0.85,-2.55,
LTC,bbrsi,2022-02-20 13:30:00,5m,80.0,5,-0.48,-2.41,
LTC,bbrsi,2022-02-21 13:30:00,5m,33.3,3,-2.07,-6.21,
